Date (-05:00),Irradiance Reference (Link) (W/m²),Meter AC Power (W)
8/2/2022 11:20,319.34,10751000
8/2/2022 11:25,509.911,16137400
8/2/2022 11:30,583.5207,20034300
8/2/2022 11:35,786.739,23180100
8/2/2022 11:40,401.1737,14444400
8/2/2022 11:45,423.4877,15106300
8/2/2022 11:50,399.8033,14161100
8/2/2022 11:55,500.5863,20390600
8/2/2022 12:00,808.5667,27450700
8/2/2022 12:05,598.3153,24415300
8/2/2022 12:10,1083.84,28857800
8/2/2022 12:15,1016.008,29049800
8/2/2022 12:20,1043.3033,28991300
8/2/2022 12:25,1012.5883,28859200
8/2/2022 12:30,1132.85,28827500
8/2/2022 12:35,1111.34,28879100
8/2/2022 12:40,995.241,27880800
8/2/2022 12:45,753.617,25314800
8/2/2022 12:50,703.135,23730100
8/2/2022 12:55,670.8187,22505700
8/2/2022 13:00,629.8387,21579300
8/2/2022 13:05,561.1247,19164900
8/2/2022 13:10,493.7733,17016800
8/2/2022 13:15,436.3043,15330500
8/2/2022 13:20,448.0473,15966900
8/2/2022 13:25,447.8333,16212900
8/2/2022 13:30,419.25,15257800
8/2/2022 13:35,387.5397,14241100
8/2/2022 13:40,369.4363,13633600
8/2/2022 13:45,339.5967,12398200
8/2/2022 13:50,208.854,7174720
8/2/2022 13:55,171.819,6017010
8/2/2022 14:00,147.852,5134730
8/2/2022 14:05,171.712,6188050
8/2/2022 14:10,222.0857,8307840
8/2/2022 14:15,193.2137,7118670
8/2/2022 14:20,175.867,
8/2/2022 14:25,174.182,0
8/2/2022 14:30,150.2213,15514800
8/2/2022 14:35,129.2417,
8/2/2022 14:40,112.752,3906730
8/2/2022 14:45,105.1853,3645070
8/2/2022 14:50,120.9533,4528670
8/2/2022 14:55,111.2677,3977390
8/2/2022 15:00,90.852,3124410
8/2/2022 15:05,90.5058,3148060
8/2/2022 15:10,102.4947,3721230
8/2/2022 15:15,93.9702,3354760
8/2/2022 15:20,88.3962,3123340
8/2/2022 15:25,93.3402,3330700
8/2/2022 15:30,91.3818,3235450
8/2/2022 15:35,94.2845,3333540
8/2/2022 15:40,102.289,3649300
8/2/2022 15:45,102.4557,3596390
8/2/2022 15:50,100.0227,3474030
8/2/2022 15:55,95.3159,3273480
8/2/2022 16:00,88.8776,3041760
8/2/2022 16:05,81.7328,2791810
8/2/2022 16:10,73.3381,2489460
8/2/2022 16:15,68.3217,2307360
8/2/2022 16:20,52.3737,2321800
8/2/2022 16:25,60.8074,2360710
8/2/2022 16:30,61.7569,2341300
8/2/2022 16:35,64.5136,2414190
8/2/2022 16:40,68.1177,2584910
8/2/2022 16:45,74.311,2857360
8/2/2022 16:50,80.5356,2751310
8/2/2022 16:55,56.417,1755040
8/2/2022 17:00,81.3554,2781410
8/2/2022 17:05,102.427,3560920
8/2/2022 17:10,97.2856,3338710
8/2/2022 17:15,85.9831,2844840
8/2/2022 17:20,93.6789,3168730
8/2/2022 17:25,109.3907,3752850
8/2/2022 17:30,107.2813,3646920
8/2/2022 17:35,99.8244,3357730
8/2/2022 17:40,91.0409,3033140
8/2/2022 17:45,83.5904,2746360
8/2/2022 17:50,77.0087,2509740
8/2/2022 17:55,70.8148,2282220
8/2/2022 18:00,65.8711,2065360
8/2/2022 18:05,62.5057,1916680
8/2/2022 18:10,58.3441,1749720
8/2/2022 18:15,56.2984,1662700
8/2/2022 18:20,52.7703,1529680
8/2/2022 18:25,44.9286,1241400
8/2/2022 18:30,39.6731,1041810
8/2/2022 18:35,37.2459,958410
8/2/2022 18:40,36.8547,946725
8/2/2022 18:45,36.7785,949035
8/2/2022 18:50,36.1518,919680
8/2/2022 18:55,33.3302,814500
8/2/2022 19:00,29.958,697365
8/2/2022 19:05,26.8213,585900
8/2/2022 19:10,23.1342,460380
8/2/2022 19:15,18.6645,307575
8/2/2022 19:20,14.3506,157455
8/2/2022 19:25,10.1165,24615
8/2/2022 19:30,4.7456,0
8/2/2022 19:35,2.9116,0
8/2/2022 19:40,1.6738,0
8/2/2022 19:45,0.9565,0
8/2/2022 19:50,0,0
8/2/2022 19:55,,0
8/2/2022 20:00,,0
8/2/2022 20:05,,0
8/2/2022 20:10,,0
8/2/2022 20:15,,0
8/2/2022 20:20,,0
8/2/2022 20:25,,0
8/2/2022 20:30,,0
8/2/2022 20:35,,0
8/2/2022 20:40,,0
8/2/2022 20:45,0,0
8/2/2022 20:50,0,0
8/2/2022 20:55,0,0
8/2/2022 21:00,0,0
8/2/2022 21:05,0,0
8/2/2022 21:10,,0
8/2/2022 21:15,,0
8/2/2022 21:20,,0
8/2/2022 21:25,,0
8/2/2022 21:30,0,0
8/2/2022 21:35,,0
8/2/2022 21:40,,0
8/2/2022 21:45,,0
8/2/2022 21:50,,0
8/2/2022 21:55,,0
8/2/2022 22:00,,0
8/2/2022 22:05,,0
8/2/2022 22:10,,0
8/2/2022 22:15,,0
8/2/2022 22:20,,0
8/2/2022 22:25,,0
8/2/2022 22:30,,0
8/2/2022 22:35,0,0
8/2/2022 22:40,0,0
8/2/2022 22:45,0,0
8/2/2022 22:50,,0
8/2/2022 22:55,,0
8/2/2022 23:00,,0
8/2/2022 23:05,,0
8/2/2022 23:10,,0
8/2/2022 23:15,0,0
8/2/2022 23:20,0,0
8/2/2022 23:25,0,0
8/2/2022 23:30,,0
8/2/2022 23:35,,0
8/2/2022 23:40,0,0
8/2/2022 23:45,0,0
8/2/2022 23:50,,0
8/2/2022 23:55,,0
8/3/2022 0:00,0,0
8/3/2022 0:05,,0
8/3/2022 0:10,,0
8/3/2022 0:15,,0
8/3/2022 0:20,,0
8/3/2022 0:25,,0
8/3/2022 0:30,0,0
8/3/2022 0:35,,0
8/3/2022 0:40,,0
8/3/2022 0:45,,0
8/3/2022 0:50,,0
8/3/2022 0:55,,0
8/3/2022 1:00,,0
8/3/2022 1:05,,0
8/3/2022 1:10,,0
8/3/2022 1:15,,0
8/3/2022 1:20,0,0
8/3/2022 1:25,,0
8/3/2022 1:30,0,0
8/3/2022 1:35,0,0
8/3/2022 1:40,0,0
8/3/2022 1:45,,0
8/3/2022 1:50,,0
8/3/2022 1:55,,0
8/3/2022 2:00,,0
8/3/2022 2:05,,0
8/3/2022 2:10,,0
8/3/2022 2:15,,0
8/3/2022 2:20,,0
8/3/2022 2:25,0,0
8/3/2022 2:30,,0
8/3/2022 2:35,,0
8/3/2022 2:40,,0
8/3/2022 2:45,,0
8/3/2022 2:50,,0
8/3/2022 2:55,,0
8/3/2022 3:00,0,0
8/3/2022 3:05,0,0
8/3/2022 3:10,,0
8/3/2022 3:15,,0
8/3/2022 3:20,,0
8/3/2022 3:25,,0
8/3/2022 3:30,0.2391,0
8/3/2022 3:35,,0
8/3/2022 3:40,,0
8/3/2022 3:45,,0
8/3/2022 3:50,0,0
8/3/2022 3:55,0,0
8/3/2022 4:00,,0
8/3/2022 4:05,0,0
8/3/2022 4:10,,0
8/3/2022 4:15,,0
8/3/2022 4:20,0,0
8/3/2022 4:25,,0
8/3/2022 4:30,,0
8/3/2022 4:35,,0
8/3/2022 4:40,,0
8/3/2022 4:45,,0
8/3/2022 4:50,0,0
8/3/2022 4:55,,0
8/3/2022 5:00,,0
8/3/2022 5:05,,0
8/3/2022 5:10,0,0
8/3/2022 5:15,,0
8/3/2022 5:20,,0
8/3/2022 5:25,,0
8/3/2022 5:30,,0
8/3/2022 5:35,,0
8/3/2022 5:40,,0
8/3/2022 5:45,,0
8/3/2022 5:50,,0
8/3/2022 5:55,0,0
8/3/2022 6:00,0.7174,0
8/3/2022 6:05,1.1851,0
8/3/2022 6:10,3.6775,0
8/3/2022 6:15,6.8939,0
8/3/2022 6:20,11.2113,33525
8/3/2022 6:25,15.9999,225390
8/3/2022 6:30,19.9334,393030
8/3/2022 6:35,27.8386,633345
8/3/2022 6:40,35.2541,939105
8/3/2022 6:45,46.3482,1296570
8/3/2022 6:50,55.9245,1620100
8/3/2022 6:55,64.5594,1918390
8/3/2022 7:00,79.4616,2392780
8/3/2022 7:05,84.4225,2539720
8/3/2022 7:10,92.6971,2907580
8/3/2022 7:15,133.322,4416090
8/3/2022 7:20,204.797,7173060
8/3/2022 7:25,252.2497,8715120
8/3/2022 7:30,220.4937,7532820
8/3/2022 7:35,182.434,6095940
8/3/2022 7:40,173.026,5367180
8/3/2022 7:45,154.3563,4956510
8/3/2022 7:50,197.2163,6050710
8/3/2022 7:55,188.7073,5527980
8/3/2022 8:00,167.379,5315700
8/3/2022 8:05,137.4593,4430280
8/3/2022 8:10,174.3953,4909170
8/3/2022 8:15,235.014,5507380
8/3/2022 8:20,272.7723,6128340
